,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
85,Adelie,Dream,41.3,20.3,194.0,3550.0,Male
264,Gentoo,Biscoe,50.5,15.9,222.0,5550.0,Male
71,Adelie,Torgersen,39.7,18.4,190.0,3900.0,Male
116,Adelie,Torgersen,38.6,17.0,188.0,2900.0,Female
39,Adelie,Dream,39.8,19.1,184.0,4650.0,Male
51,Adelie,Biscoe,40.1,18.9,188.0,4300.0,Male
313,Gentoo,Biscoe,49.5,16.1,224.0,5650.0,Male
261,Gentoo,Biscoe,49.6,16.0,225.0,5700.0,Male
41,Adelie,Dream,40.8,18.4,195.0,3900.0,Male
128,Adelie,Torgersen,39.0,17.1,191.0,3050.0,Female
280,Gentoo,Biscoe,45.3,13.8,208.0,4200.0,Female
201,Chinstrap,Dream,49.8,17.3,198.0,3675.0,Female
44,Adelie,Dream,37.0,16.9,185.0,3000.0,Female
80,Adelie,Torgersen,34.6,17.2,189.0,3200.0,Female
36,Adelie,Dream,38.8,20.0,190.0,3950.0,Male
100,Adelie,Biscoe,35.0,17.9,192.0,3725.0,Female
303,Gentoo,Biscoe,50.0,15.9,224.0,5350.0,Male
159,Chinstrap,Dream,51.3,18.2,197.0,3750.0,Male
192,Chinstrap,Dream,49.0,19.5,210.0,3950.0,Male
300,Gentoo,Biscoe,49.1,14.5,212.0,4625.0,Female
232,Gentoo,Biscoe,45.5,13.7,214.0,4650.0,Female
19,Adelie,Torgersen,46.0,21.5,194.0,4200.0,Male
61,Adelie,Biscoe,41.3,21.1,195.0,4400.0,Male
156,Chinstrap,Dream,52.7,19.8,197.0,3725.0,Male
305,Gentoo,Biscoe,50.8,17.3,228.0,5600.0,Male
247,Gentoo,Biscoe,47.8,15.0,215.0,5650.0,Male
274,Gentoo,Biscoe,46.5,14.4,217.0,4900.0,Female
290,Gentoo,Biscoe,47.7,15.0,216.0,4750.0,Female
31,Adelie,Dream,37.2,18.1,178.0,3900.0,Male
210,Chinstrap,Dream,50.2,18.8,202.0,3800.0,Male
171,Chinstrap,Dream,49.2,18.2,195.0,4400.0,Male
173,Chinstrap,Dream,48.5,17.5,191.0,3400.0,Male
283,Gentoo,Biscoe,54.3,15.7,231.0,5650.0,Male
174,Chinstrap,Dream,43.2,16.6,187.0,2900.0,Female
330,Gentoo,Biscoe,50.5,15.2,216.0,5000.0,Female
5,Adelie,Torgersen,39.3,20.6,190.0,3650.0,Male
120,Adelie,Torgersen,36.2,17.2,187.0,3150.0,Female
111,Adelie,Biscoe,45.6,20.3,191.0,4600.0,Male
265,Gentoo,Biscoe,43.6,13.9,217.0,4900.0,Female
242,Gentoo,Biscoe,46.5,14.5,213.0,4400.0,Female
279,Gentoo,Biscoe,50.4,15.3,224.0,5550.0,Male
122,Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female
225,Gentoo,Biscoe,46.5,13.5,210.0,4550.0,Female
308,Gentoo,Biscoe,47.5,14.0,212.0,4875.0,Female
188,Chinstrap,Dream,47.6,18.3,195.0,3850.0,Female
131,Adelie,Torgersen,43.1,19.2,197.0,3500.0,Male
226,Gentoo,Biscoe,45.4,14.6,211.0,4800.0,Female
16,Adelie,Torgersen,38.7,19.0,195.0,3450.0,Female
326,Gentoo,Biscoe,41.7,14.7,210.0,4700.0,Female
130,Adelie,Torgersen,38.5,17.9,190.0,3325.0,Female
97,Adelie,Dream,40.3,18.5,196.0,4350.0,Male
21,Adelie,Biscoe,37.7,18.7,180.0,3600.0,Male
230,Gentoo,Biscoe,40.9,13.7,214.0,4650.0,Female
306,Gentoo,Biscoe,43.4,14.4,218.0,4600.0,Female
152,Chinstrap,Dream,46.5,17.9,192.0,3500.0,Female
107,Adelie,Biscoe,38.2,20.0,190.0,3900.0,Male
83,Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male
257,Gentoo,Biscoe,44.4,17.3,219.0,5250.0,Male
187,Chinstrap,Dream,47.5,16.8,199.0,3900.0,Female
209,Chinstrap,Dream,49.3,19.9,203.0,4050.0,Male
291,Gentoo,Biscoe,46.4,15.6,221.0,5000.0,Male
316,Gentoo,Biscoe,49.4,15.8,216.0,4925.0,Male
296,Gentoo,Biscoe,47.5,14.2,209.0,4600.0,Female
79,Adelie,Torgersen,42.1,19.1,195.0,4000.0,Male
288,Gentoo,Biscoe,43.5,14.2,220.0,4700.0,Female
199,Chinstrap,Dream,49.0,19.6,212.0,4300.0,Male
34,Adelie,Dream,36.4,17.0,195.0,3325.0,Female
26,Adelie,Biscoe,40.6,18.6,183.0,3550.0,Male
193,Chinstrap,Dream,46.2,17.5,187.0,3650.0,Female
161,Chinstrap,Dream,51.3,19.9,198.0,3700.0,Male
259,Gentoo,Biscoe,48.7,15.7,208.0,5350.0,Male
181,Chinstrap,Dream,52.8,20.0,205.0,4550.0,Male
195,Chinstrap,Dream,45.5,17.0,196.0,3500.0,Female
319,Gentoo,Biscoe,51.1,16.5,225.0,5250.0,Male
23,Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male
145,Adelie,Dream,39.0,18.7,185.0,3650.0,Male
194,Chinstrap,Dream,50.9,19.1,196.0,3550.0,Male
267,Gentoo,Biscoe,50.5,15.9,225.0,5400.0,Male
271,Gentoo,Biscoe,48.5,14.1,220.0,5300.0,Male
223,Gentoo,Biscoe,50.0,15.2,218.0,5700.0,Male
28,Adelie,Biscoe,37.9,18.6,172.0,3150.0,Female
129,Adelie,Torgersen,44.1,18.0,210.0,4000.0,Male
238,Gentoo,Biscoe,46.2,14.5,209.0,4800.0,Female
282,Gentoo,Biscoe,45.7,13.9,214.0,4400.0,Female
269,Gentoo,Biscoe,45.2,15.8,215.0,5300.0,Male
20,Adelie,Biscoe,37.8,18.3,174.0,3400.0,Female
229,Gentoo,Biscoe,46.8,15.4,215.0,5150.0,Male
90,Adelie,Dream,35.7,18.0,202.0,3550.0,Female
102,Adelie,Biscoe,37.7,16.0,183.0,3075.0,Female
17,Adelie,Torgersen,42.5,20.7,197.0,4500.0,Male
134,Adelie,Dream,38.1,17.6,187.0,3425.0,Female
